Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
2001,573822,9195,231,181,3780,5003,35232,4949,22313,7970,1602.4,40.3,31.5,658.7,871.9,6139.9,862.5,3888.5,1388.9
2002,569157,9322,264,262,3834,4962,36477,5170,21708,9599,1637.9,46.4,46,673.6,871.8,6409,908.4,3814.1,1686.5
2003,557620,9061,249,274,3941,4597,32696,4671,18119,9906,1624.9,44.7,49.1,706.8,824.4,5863.5,837.7,3249.3,1776.5
2004,554239,7590,198,222,3202,3968,26896,3946,14542,8408,1369.4,35.7,40.1,577.7,715.9,4852.8,712,2623.8,1517
2005,582049,8032,195,166,3700,3971,26133,3577,14836,7720,1380,33.5,28.5,635.7,682.2,4490,614.6,2549,1326
2006,581530,8772,169,185,3829,4589,27064,3835,15908,7321,1508.4,29.1,31.8,658.4,789.1,4653.9,659.5,2735.5,1258.9
2007,588292,8325,181,192,4265,3687,28922,3926,17390,7606,1415.1,30.8,32.6,725,626.7,4916.3,667.4,2956,1292.9
2008,590074,8509,186,186,4430,3707,30211,3788,19958,6465,1442,31.5,31.5,750.8,628.2,5119.9,642,3382.3,1095.6
2009,599657,8089,145,150,4404,3390,28495,3696,19267,5532,1348.9,24.2,25,734.4,565.3,4751.9,616.4,3213,922.5
2010,601723,8004,132,187,4325,3360,28756,4231,19489,5036,1330.2,21.9,31.1,718.8,558.4,4778.9,703.1,3238.9,836.9
